Taper_length,Waist_scale,Waist_len,Low_wavelength,High_wavelength,SC_range
0.1,0.33333333333333337,0.025,834.9184863654359,2199.2150542740605,1364.2965679086246
0.1,0.3466666666666667,0.025,832.3685360726251,2199.2150542740605,1366.8465182014354
0.1,0.36,0.025,827.3150790882162,2199.2150542740605,1371.8999751858444
0.1,0.37333333333333335,0.025,878.4665243442364,2199.2150542740605,1320.7485299298241
0.1,0.3866666666666667,0.025,896.1924768068113,2199.2150542740605,1303.0225774672492
0.1,0.4,0.025,856.6283558554201,2199.2150542740605,1342.5866984186405
0.11000000000000001,0.28,0.025,837.2502184234694,2199.2150542740605,1361.964835850591
0.11000000000000001,0.29333333333333333,0.025,841.7165817656537,2199.2150542740605,1357.4984725084068
0.11000000000000001,0.3066666666666667,0.025,862.4194167449722,2199.2150542740605,1336.7956375290883
0.11000000000000001,0.32,0.025,891.6611087701287,2199.2150542740605,1307.5539455039318
0.11000000000000001,0.33333333333333337,0.025,914.3695515014688,2199.2150542740605,1284.8455027725918
0.11000000000000001,0.3466666666666667,0.025,934.7542620221188,2199.2150542740605,1264.4607922519417
0.11000000000000001,0.36,0.025,957.5955347044737,2199.2150542740605,1241.6195195695868
0.11000000000000001,0.37333333333333335,0.025,1490.2596472187556,2199.2150542740605,708.9554070553049
0.11000000000000001,0.3866666666666667,0.025,955.0026398424806,2199.2150542740605,1244.2124144315799
0.11000000000000001,0.4,0.025,1479.594863407569,2199.2150542740605,719.6201908664916
0.12000000000000001,0.28,0.025,923.6662785688243,2199.2150542740605,1275.5487757052363
0.12000000000000001,0.29333333333333333,0.025,954.2426938637109,2199.2150542740605,1244.9723604103497
0.12000000000000001,0.3066666666666667,0.025,962.2057436959399,2199.2150542740605,1237.0093105781207
0.12000000000000001,0.32,0.025,974.0860645255401,2199.2150542740605,1225.1289897485203
0.12000000000000001,0.33333333333333337,0.025,1489.5192115221748,2199.2150542740605,709.6958427518857
0.12000000000000001,0.3466666666666667,0.025,970.7741119248527,2199.2150542740605,1228.440942349208
0.12000000000000001,0.36,0.025,1471.9668850733922,2199.2150542740605,727.2481692006684
0.12000000000000001,0.37333333333333335,0.025,894.5879208353035,2199.2150542740605,1304.627133438757
0.12000000000000001,0.3866666666666667,0.025,866.9083538027022,2199.2150542740605,1332.3067004713585
0.12000000000000001,0.4,0.025,1077.932843277877,2199.2150542740605,1121.2822109961835
0.13,0.28,0.025,1490.2596472187556,2199.2150542740605,708.9554070553049
0.13,0.29333333333333333,0.025,972.9795722306862,2199.2150542740605,1226.2354820433743
0.13,0.3066666666666667,0.025,1476.6796631266327,2199.2150542740605,722.5353911474278
0.13,0.32,0.025,938.8525472026995,2199.2150542740605,1260.362507071361
0.13,0.33333333333333337,0.025,907.5875843298385,2199.2150542740605,1291.627469944222
0.13,0.3466666666666667,0.025,877.8234640312952,2199.2150542740605,1321.3915902427652
0.13,0.36,0.025,839.8302127205334,2199.2150542740605,1359.3848415535272
0.13,0.37333333333333335,0.025,889.0169400815738,2199.2150542740605,1310.1981141924866
0.13,0.3866666666666667,0.025,885.864564828356,2199.2150542740605,1313.3504894457046
0.13,0.4,0.025,1483.2550899303192,2199.2150542740605,715.9599643437414
0.14,0.28,0.025,916.4659732723946,2199.2150542740605,1282.749081001666
0.14,0.29333333333333333,0.025,890.9985931095074,2199.2150542740605,1308.216461164553
0.14,0.3066666666666667,0.025,873.7300681657298,2199.2150542740605,1325.4849861083308
0.14,0.32,0.025,880.5306635604309,2199.2150542740605,1318.6843907136297
0.14,0.33333333333333337,0.025,896.3264496602827,2199.2150542740605,1302.8886046137777
0.14,0.3466666666666667,0.025,1478.1358259187418,2199.2150542740605,721.0792283553187
0.14,0.36,0.025,1486.1963357432833,2199.2150542740605,713.0187185307773
0.14,0.37333333333333335,0.025,976.7837666032808,2199.2150542740605,1222.4312876707797
0.14,0.3866666666666667,0.025,1487.3023124888507,2199.2150542740605,711.9127417852098
0.14,0.4,0.025,1486.1963357432833,2199.2150542740605,713.0187185307773
