Trace
Log Plot
A.29.04,N9000B
23263.0506715363,-65.5997373942513
23622.9066263446,-65.8440427376367
23988.3291901949,-59.6161052480997
24359.4044729203,-61.2130248933508
24736.2199163862,-61.3438068553748
25118.8643150958,-63.0908973742206
25507.4278371136,-62.695047653871
25902.0020453133,-62.6484488779607
26302.6799189538,-62.0002395732459
26709.5558755899,-61.462363768593
27122.7257933203,-59.2628337614461
27542.2870333817,-63.9237471981275
27968.3384630908,-61.651344327763
28400.9804791421,-64.0686560076337
28840.3150312661,-63.5142677813909
29286.4456462524,-65.7937310696762
29739.477452346,-66.5557235322136
30199.5172040202,-65.9847839780868
30666.6733071318,-65.9761718703838
31141.0558444676,-63.9367703716366
31622.7766016838,-64.157990369883
32111.9490936482,-63.8737472226961
32608.6885911893,-67.1264444324434
33113.1121482591,-66.6321920731494
33625.3386295163,-64.7085093186976
34145.488738336,-63.5917466165775
34673.6850452532,-65.4057921556409
35210.0520168452,-62.3593584143027
35754.7160450621,-67.3862473579263
36307.8054770101,-63.6780183958076
36869.4506451958,-65.2445168435346
37439.7838982381,-62.3675293037823
38018.9396320561,-66.8160335860237
38607.0543215381,-66.1056824813285
39204.2665527015,-64.9325882682218
39810.7170553497,-64.9301845316811
40426.5487362344,-67.1270206519536
41051.9067127308,-67.4307644613899
41686.9383470336,-66.0919324786095
42331.7932808821,-65.5714693030883
42986.6234708228,-64.2835733890974
43651.5832240166,-67.5438772491449
44326.8292346009,-68.5658202200525
45012.5206206134,-69.9096667973359
45708.8189614875,-73.3809198456929
46415.8883361278,-69.6840029698992
47133.895361574,-65.6150089324531
47863.0092322639,-66.578995857904
48603.4017599022,-68.4283229360639
49355.2474139481,-68.3196693476928
50118.7233627272,-68.7361506722131
50894.0095151809,-67.4155166307943
51681.2885632604,-66.5388681125353
52480.7460249773,-69.225954367723
53292.57028812,-70.4512974660782
54116.9526546464,-71.1402826566838
54954.0873857625,-67.0383193940472
55804.1717476996,-69.2479005020066
56667.4060581991,-68.9473069112654
57543.9937337157,-70.5565185519674
58434.1413373517,-69.9637670056942
59338.0586275328,-71.6195859731918
60255.9586074358,-71.7998661275448
61188.0575751822,-69.4129633462014
62134.5751748076,-71.6058450275945
63095.7344480193,-69.1329200788618
64071.7618867554,-71.8180647460543
65062.8874865557,-71.0878996558499
66069.3448007596,-72.3758230380454
67091.3709955411,-73.4579103614031
68129.2069057961,-71.9568325928312
69183.0970918936,-71.8783954390512
70253.2898973052,-72.7827868129925
71340.0375071256,-72.1682391772296
72443.596007499,-72.962735270931
73564.2254459641,-72.1415271913441
74702.1898927332,-71.8237996338303
75857.7575029183,-75.0746189234988
77031.2005797215,-69.9875315554569
78222.7956386003,-69.6353332729502
79432.8234724281,-76.0314993111395
80661.5692176614,-72.0905067340876
81909.3224215298,-71.3555042483137
83176.3771102671,-73.5799359369606
84463.0318583969,-73.5594489692188
85769.5898590894,-76.6982427781781
87096.3589956081,-75.8197459889457
88443.65191386,-74.3542349619452
89811.7860960694,-74.1130225836944
91201.083935591,-73.82762838212
92611.8728128794,-75.1098862388299
94044.4851726351,-74.70376424166
95499.2586021436,-71.0358484413784
96976.535910825,-72.5165059151355
98476.6652110158,-77.9530305315598
100000,-73.6804243873166
101546.899243308,-70.8490588212485
103117.727459306,-72.5379271657951
104712.85480509,-78.4025544494297
106332.657163716,-75.0100825765791
107977.516232771,-76.9589663606441
109647.819614319,-73.6113702033306
111343.960906236,-80.3027628000011
113066.339794964,-80.1831628521717
114815.362149688,-74.8010888200985
116591.440117983,-76.5278304583971
118394.99222293,-75.8236186364683
120226.443461741,-76.100381051632
122086.225405907,-76.2496643928949
123974.776302894,-76.9852603116471
125892.541179417,-80.0681791653421
127839.971946302,-77.6874745206097
129817.527504985,-75.7476646451037
131825.673855641,-76.390211845476
133864.884206999,-76.9644338437821
135935.639087853,-78.5668485861526
138038.426460289,-83.0999447254286
140173.741834677,-75.6269883831995
142342.088386434,-77.3983763633167
144543.977074593,-76.4449628609657
146779.926762207,-76.6935014200451
149050.46433862,-82.3004302788236
151356.124843621,-77.2455367606377
153697.451593527,-77.6815549537174
156074.996309211,-80.5817549566328
158489.319246111,-81.0892022482241
160940.989326253,-82.0627975753103
163430.584272314,-82.9790060750874
165958.690743756,-79.8111569812726
168525.904475075,-82.6444884547627
171132.830416178,-81.1470337400862
173780.082874938,-78.0942930434731
176468.28566195,-81.2460762991799
179198.072237533,-81.8072519999858
181970.085860998,-77.8281663421547
184784.979742229,-80.0683352163789
187643.417195609,-80.8444197828082
190546.071796325,-82.013692714572
193493.627539095,-80.7271267546425
196486.778999347,-79.3628244065772
199526.231496888,-82.3289607357136
202612.701262114,-80.0214643175477
205746.915604784,-83.5418160891986
208929.613085404,-85.6846281296851
212161.543689268,-83.7214227485176
215443.469003188,-80.4619344824348
218776.162394955,-80.3907197359542
222160.409195581,-83.6170333263153
225597.006884358,-83.0092863203354
229086.765276777,-81.3478041642978
232630.506715363,-83.5210766697898
236229.066263446,-82.4146751173072
239883.291901949,-86.1731557841857
243594.044729203,-86.0084424531238
247362.199163862,-85.0008541168592
251188.643150958,-82.2773296862854
255074.278371136,-83.7573892840186
259020.020453133,-84.2332398707129
263026.799189538,-85.2077935006948
267095.558755899,-82.3031197670259
271227.257933203,-87.0822344864815
275422.870333817,-84.9660690176928
279683.384630908,-82.8181810204835
284009.804791421,-81.1795809494073
288403.150312661,-82.4446680438123
292864.456462524,-85.2288007019393
297394.77452346,-88.0958779558646
301995.172040202,-86.7283014238043
