# Frequency; PSD [dBc/Hz]
2.56347656e+01;-3.92296066e+01
2.56958008e+01;-3.92340965e+01
2.57568359e+01;-3.93699570e+01
2.58178711e+01;-3.94842644e+01
2.58789062e+01;-3.96168900e+01
2.59399414e+01;-3.97652664e+01
2.60009766e+01;-3.99216995e+01
2.60620117e+01;-3.98906555e+01
2.61230469e+01;-3.99860268e+01
2.61840820e+01;-4.02287064e+01
2.62451172e+01;-4.02166138e+01
2.63061523e+01;-4.01954346e+01
2.63671875e+01;-4.02413177e+01
2.64282227e+01;-4.02432632e+01
2.64892578e+01;-4.03302269e+01
2.65502930e+01;-4.03201294e+01
2.66113281e+01;-4.01290894e+01
2.66723633e+01;-3.99121284e+01
2.67333984e+01;-3.98345375e+01
2.67944336e+01;-3.98011971e+01
2.68554688e+01;-3.96873894e+01
2.69165039e+01;-3.96322021e+01
2.69775391e+01;-3.96251373e+01
2.70385742e+01;-3.95414658e+01
2.70996094e+01;-3.95480347e+01
2.71606445e+01;-3.97546234e+01
2.72216797e+01;-3.99353256e+01
2.72827148e+01;-3.99851837e+01
2.73437500e+01;-3.99755211e+01
2.74047852e+01;-3.99509850e+01
2.74658203e+01;-3.99435806e+01
2.75268555e+01;-3.99024773e+01
2.75878906e+01;-3.98048515e+01
2.76489258e+01;-3.97680626e+01
2.77099609e+01;-3.97848930e+01
2.77709961e+01;-3.96806946e+01
2.78320312e+01;-3.96151352e+01
2.78930664e+01;-3.97290726e+01
2.79541016e+01;-3.97811661e+01
2.80151367e+01;-3.96657028e+01
2.80761719e+01;-3.95534706e+01
2.81372070e+01;-3.97757492e+01
2.81982422e+01;-3.99726753e+01
2.82592773e+01;-3.98566170e+01
2.83203125e+01;-3.98744316e+01
2.83813477e+01;-3.99512520e+01
2.84423828e+01;-3.98773918e+01
2.85034180e+01;-3.97331352e+01
2.85644531e+01;-3.96216240e+01
2.86254883e+01;-3.95524025e+01
2.86865234e+01;-3.92986221e+01
2.87475586e+01;-3.89954758e+01
2.88085938e+01;-3.88959465e+01
2.88696289e+01;-3.88662949e+01
2.89306641e+01;-3.88156891e+01
2.89916992e+01;-3.87512398e+01
2.90527344e+01;-3.88252220e+01
2.91137695e+01;-3.89792671e+01
2.91748047e+01;-3.90497055e+01
2.92358398e+01;-3.91379395e+01
2.92968750e+01;-3.92913475e+01
2.93579102e+01;-3.95217590e+01
2.94189453e+01;-3.96254005e+01
2.94799805e+01;-3.95453491e+01
2.95410156e+01;-3.95510025e+01
2.96020508e+01;-3.95420914e+01
2.96630859e+01;-3.95076027e+01
2.97241211e+01;-3.96772385e+01
2.97851562e+01;-3.98282547e+01
2.98461914e+01;-3.97831039e+01
2.99072266e+01;-3.96266632e+01
2.99682617e+01;-3.96190529e+01
3.00292969e+01;-3.96211853e+01
3.00903320e+01;-3.95982971e+01
3.01513672e+01;-3.96244278e+01
3.02124023e+01;-3.95717888e+01
3.02734375e+01;-3.94966660e+01
3.03344727e+01;-3.94860878e+01
3.03955078e+01;-3.97705574e+01
3.04565430e+01;-4.00905266e+01
3.05175781e+01;-3.99987030e+01
3.05786133e+01;-3.97565155e+01
3.06396484e+01;-3.97631531e+01
3.07006836e+01;-3.99552040e+01
3.07617188e+01;-4.01384583e+01
3.08227539e+01;-4.01030350e+01
3.08837891e+01;-4.00239372e+01
3.09448242e+01;-3.98539581e+01
3.10058594e+01;-3.96462326e+01
3.10668945e+01;-3.97609787e+01
3.11279297e+01;-4.02200699e+01
3.11889648e+01;-4.03692551e+01
3.12500000e+01;-4.01914978e+01
3.13110352e+01;-4.00122910e+01
3.13720703e+01;-3.98786812e+01
