Trace
Log Plot
A.29.04,N9000B
306666.733071318,-85.3822814380018
311410.558444676,-85.4450891892714
316227.766016838,-85.4736428593123
321119.490936482,-85.5540931175182
326086.885911893,-85.5344157504386
331131.121482591,-85.6346632263969
336253.386295163,-85.6037965582578
341454.88738336,-85.8133358421929
346736.850452532,-85.9823241657666
352100.520168452,-85.9752760794546
357547.160450621,-86.0519251729142
363078.054770101,-86.0930871069825
368694.506451958,-86.2665836109437
374397.838982381,-86.4924990661567
380189.396320561,-86.4983872959991
386070.543215381,-86.6283442038911
392042.665527015,-86.8635249785144
398107.170553497,-86.9679577263467
404265.487362344,-86.9765106451753
410519.067127308,-87.1852150008122
416869.383470335,-87.2646938758595
423317.932808821,-87.425923687068
429866.234708228,-87.5158283509797
436515.832240166,-87.5860249132109
443268.292346009,-87.7440168183359
450125.206206134,-87.8153163154964
457088.189614875,-87.959014994373
464158.883361278,-88.3084655326541
471338.953615741,-88.5008346509814
478630.092322638,-88.6995478090725
486034.017599022,-88.7163836239303
493552.474139481,-88.7952390529156
501187.233627273,-89.0023399324869
508940.095151809,-89.1681042387384
516812.885632603,-89.2816395152192
524807.460249773,-89.4035259218943
532925.7028812,-89.550526738276
541169.526546464,-89.7361551930398
549540.873857625,-89.8273949593224
558041.717476996,-89.9582464899083
566674.060581991,-90.0987904601306
575439.937337157,-90.3982673995485
584341.413373517,-90.515735714897
593380.586275328,-90.4913585186971
602559.586074358,-90.5345285024341
611880.575751822,-90.6528791057019
621345.751748076,-90.8253562804899
630957.344480193,-90.9902104830879
640717.618867554,-91.0910412493437
650628.874865557,-91.0713815282602
660693.448007596,-91.0817318091029
670913.709955411,-91.0906776082741
681292.069057962,-91.2564796265917
691830.970918936,-91.3883466004383
702532.898973052,-91.5274163723103
713400.375071256,-91.506686971661
724435.96007499,-91.5996256590555
735642.254459641,-91.7100616666596
747021.898927332,-91.8660476615348
758577.575029184,-91.9842139441356
770312.005797215,-92.011527231457
782227.956386003,-92.077226359079
794328.234724281,-92.1426983663476
806615.692176613,-92.0453299572821
819093.224215298,-91.9671284334963
831763.771102671,-91.9467630765175
844630.318583969,-92.0711298101014
857695.898590894,-92.1757749527191
870963.589956081,-92.2702425215276
884436.5191386,-92.3282212190681
898117.860960694,-92.4011035740607
912010.83935591,-92.4878670757259
926118.728128794,-92.5397560086639
940444.851726351,-92.5510143627688
954992.586021436,-92.4395463527845
969765.35910825,-92.6668241356349
984766.652110158,-92.7783898312342
1000000,-92.8487231880734
