MeasResult
PNOISE:LPL
A.19.05,N9000B
503 EP4 P03 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,True
Cancellation,False
Carrier Frequency,174043309.238646
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,0,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,0,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,10000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6,MeasResult7,MeasResult8
,,-36.41,-38.17,,,,
,,665.784,665.784,,,,
,,-37.97,-38.17,,,,
,,670.9137,670.9137,,,,
,,-35.95,-38.12,,,,
,,676.083,676.083,,,,
,,-35.26,-38.04,,,,
,,681.2921,681.2921,,,,
,,-37.25,-38.04,,,,
,,686.5413,686.5413,,,,
,,-38.4,-38.03,,,,
,,691.831,691.831,,,,
,,-37.37,-37.83,,,,
,,697.1614,697.1614,,,,
,,-39.5,-37.9,,,,
,,702.5329,702.5329,,,,
,,-38.17,-37.89,,,,
,,707.9458,707.9458,,,,
,,-40.91,-37.92,,,,
,,713.4004,713.4004,,,,
,,-39.64,-38.02,,,,
,,718.897,718.897,,,,
,,-37.74,-38.13,,,,
,,724.436,724.436,,,,
,,-39.31,-38.21,,,,
,,730.0176,730.0176,,,,
,,-37.4,-38.25,,,,
,,735.6423,735.6423,,,,
,,-37.95,-38.33,,,,
,,741.3102,741.3102,,,,
,,-38.63,-38.5,,,,
,,747.0219,747.0219,,,,
,,-38.09,-38.54,,,,
,,752.7776,752.7776,,,,
,,-36.5,-38.52,,,,
,,758.5776,758.5776,,,,
,,-38.02,-38.57,,,,
,,764.4223,764.4223,,,,
,,-38.09,-38.54,,,,
,,770.312,770.312,,,,
,,-38.96,-38.61,,,,
,,776.2471,776.2471,,,,
,,-40.3,-38.57,,,,
,,782.228,782.228,,,,
,,-39.21,-38.6,,,,
,,788.2549,788.2549,,,,
,,-38.29,-38.6,,,,
,,794.3282,794.3282,,,,
,,-38.93,-38.56,,,,
,,800.4484,800.4484,,,,
,,-37.72,-38.58,,,,
,,806.6157,806.6157,,,,
,,-39.21,-38.57,,,,
,,812.8305,812.8305,,,,
,,-38.03,-38.61,,,,
,,819.0932,819.0932,,,,
,,-38.06,-38.61,,,,
,,825.4042,825.4042,,,,
,,-38.56,-38.71,,,,
,,831.7638,831.7638,,,,
,,-38.73,-38.74,,,,
,,838.1724,838.1724,,,,
,,-39.82,-38.7,,,,
,,844.6303,844.6303,,,,
,,-39.93,-38.68,,,,
,,851.138,851.138,,,,
,,-40.28,-38.58,,,,
,,857.6959,857.6959,,,,
,,-37.86,-38.56,,,,
,,864.3043,864.3043,,,,
,,-38.41,-38.58,,,,
,,870.9636,870.9636,,,,
,,-37.78,-38.58,,,,
,,877.6742,877.6742,,,,
,,-37.65,-38.6,,,,
,,884.4365,884.4365,,,,
,,-39.5,-38.64,,,,
,,891.2509,891.2509,,,,
,,-38.19,-38.65,,,,
,,898.1179,898.1179,,,,
,,-38.83,-38.7,,,,
,,905.0377,905.0377,,,,
,,-38.72,-38.73,,,,
,,912.0108,912.0108,,,,
,,-37.18,-38.75,,,,
,,919.0377,919.0377,,,,
,,-38.52,-38.71,,,,
,,926.1187,926.1187,,,,
,,-37.86,-38.69,,,,
,,933.2543,933.2543,,,,
,,-38.84,-38.67,,,,
,,940.4449,940.4449,,,,
,,-38.82,-38.75,,,,
,,947.6908,947.6908,,,,
,,-38.8,-38.8,,,,
,,954.9926,954.9926,,,,
,,-38.22,-38.87,,,,
,,962.3506,962.3506,,,,
,,-40.14,-39,,,,
,,969.7654,969.7654,,,,
,,-38.37,-39,,,,
,,977.2372,977.2372,,,,
,,-39.09,-38.97,,,,
,,984.7667,984.7667,,,,
,,-39.31,-39.01,,,,
,,992.3541,992.3541,,,,
,,-39.15,-39.04,,,,
,,1000,1000,,,,
,,-38.93,-39.1,,,,
,,1007.7048,1007.7048,,,,
,,-39.41,-39.18,,,,
,,1015.469,1015.469,,,,
,,-39.93,-39.24,,,,
,,1023.293,1023.293,,,,
,,-39.53,-39.2,,,,
,,1031.1773,1031.1773,,,,
,,-39.65,-39.27,,,,
,,1039.1223,1039.1223,,,,
,,-39.47,-39.3,,,,
,,1047.1285,1047.1285,,,,
,,-40.59,-39.38,,,,
,,1055.1965,1055.1965,,,,
,,-39.43,-39.34,,,,
,,1063.3266,1063.3266,,,,
,,-37.47,-39.41,,,,
,,1071.5193,1071.5193,,,,
,,-39.73,-39.44,,,,
,,1079.7752,1079.7752,,,,
,,-39.47,-39.48,,,,
,,1088.0946,1088.0946,,,,
,,-38.62,-39.45,,,,
,,1096.4782,1096.4782,,,,
,,-40.36,-39.47,,,,
,,1104.9264,1104.9264,,,,
,,-39.26,-39.48,,,,
,,1113.4396,1113.4396,,,,
,,-37.86,-39.46,,,,
,,1122.0185,1122.0185,,,,
,,-40.4,-39.49,,,,
,,1130.6634,1130.6634,,,,
,,-39.53,-39.54,,,,
,,1139.3749,1139.3749,,,,
,,-40.09,-39.59,,,,
,,1148.1536,1148.1536,,,,
,,-39.09,-39.6,,,,
,,1156.9999,1156.9999,,,,
,,-40.01,-39.63,,,,
,,1165.9144,1165.9144,,,,
,,-39.91,-39.69,,,,
,,1174.8976,1174.8976,,,,
,,-40.04,-39.71,,,,
,,1183.9499,1183.9499,,,,
,,-38.44,-39.68,,,,
,,1193.072,1193.072,,,,
,,-39.54,-39.77,,,,
,,1202.2644,1202.2644,,,,
,,-39.49,-39.71,,,,
,,1211.5277,1211.5277,,,,
,,-39.68,-39.73,,,,
,,1220.8623,1220.8623,,,,
,,-40.22,-39.83,,,,
,,1230.2688,1230.2688,,,,
,,-40.74,-39.84,,,,
,,1239.7478,1239.7478,,,,
,,-40.58,-39.89,,,,
,,1249.2998,1249.2998,,,,
,,-40.75,-40.01,,,,
,,1258.9254,1258.9254,,,,
,,-40.23,-40.1,,,,
,,1268.6252,1268.6252,,,,
,,-38.83,-40.19,,,,
,,1278.3997,1278.3997,,,,
,,-40.09,-40.33,,,,
,,1288.2496,1288.2496,,,,
,,-38.93,-40.53,,,,
,,1298.1753,1298.1753,,,,
,,-40.51,-40.71,,,,
,,1308.1775,1308.1775,,,,
,,-38.98,-40.82,,,,
,,1318.2567,1318.2567,,,,
,,-39.8,-40.98,,,,
,,1328.4137,1328.4137,,,,
,,-40.25,-41.17,,,,
,,1338.6488,1338.6488,,,,
,,-40.57,-41.29,,,,
,,1348.9629,1348.9629,,,,
,,-40.79,-41.33,,,,
